Row ID,USEEIO Sector Name,USEEIO Sector Code,NAICS Sector Code,Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas,Emissions (kg),Emissions Intensity (kg/USD_2022),AR5-100 GWP,Emissions (kgCO2e),Emissions (MTCO2e),Contribution to USEEIO Sector's Scope 1 (%),Attribution Sources
78,Vegetable and melon farming,111200,1112,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,43735.691355609146,2.3257480114655223e-06,28.0,,1224.599357957056,6.522744904277562e-05,Detail_Use_2022
79,Fruit and tree nut farming,111300,1113,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,32846736.14606524,0.0010966458382099772,265.0,,8704385.078707289,0.6386811553077365,Detail_Use_2022
80,Fruit and tree nut farming,111300,1113,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,6689885.710483013,0.0002233535560390963,265.0,,1772819.7132779984,0.1300800151177225,Detail_Use_2022
81,Fruit and tree nut farming,111300,1113,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,5775540.165556959,0.0001928265279633066,265.0,,1530518.1438725942,0.11230122375206014,USDA_CoA_Cropland
82,Fruit and tree nut farming,111300,1113,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1167442656.5129287,0.038977118606868616,1.0,,1167442.6565129287,0.08566068916702209,Detail_Use_2022
83,Fruit and tree nut farming,111300,1113,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,398805180.5910251,0.01331480971524523,1.0,,398805.1805910251,0.02926218810167966,Detail_Use_2022
84,Fruit and tree nut farming,111300,1113,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,181112.4348105358,6.046755969903038e-06,265.0,,47994.79522479199,0.003521601007509745,Detail_Use_2022
85,Fruit and tree nut farming,111300,1113,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,155827.25330897,5.2025658823774706e-06,28.0,,4363.16309265116,0.0003201455380951936,Detail_Use_2022
86,Fruit and tree nut farming,111300,1113,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,5337.775561765759,1.782109896422863e-07,265.0,,1414.5105238679264,0.00010378920594734168,Detail_Use_2022
87,Fruit and tree nut farming,111300,1113,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,33678.8211508434,1.124426454021214e-06,28.0,,943.0069922236153,6.919280222677126e-05,Detail_Use_2022
88,"Greenhouse, nursery, and floriculture production",111400,1114,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,31214352.895169877,0.0015710868177556813,265.0,,8271803.5172200175,0.6257335034865817,Detail_Use_2022
89,"Greenhouse, nursery, and floriculture production",111400,1114,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,2818617339.682835,0.1418671904410527,1.0,,2818617.339682835,0.21321871334058398,Detail_Use_2022
